ID,Title,Prompt,Category,Tags,Reference,Quick Access,Created Date
cin-001,"Epic Wide Shot","cinematic wide shot, epic scale, dramatic lighting, anamorphic lens flare, film grain, 70mm IMAX, professional cinematography",Cinematic Shots,wide; epic; dramatic,Dune, Lawrence of Arabia style cinematography,Yes,9/22/2025
cin-002,"Intimate Close-Up","extreme close-up shot, shallow depth of field, bokeh, intimate lighting, emotional portrait, cinematic color grading",Cinematic Shots,closeup; portrait; intimate,@prompt_1758598565345,Yes,9/22/2025
cin-003,"Action Sequence","dynamic action shot, motion blur, high speed cinematography, dramatic angles, intense movement, cinematic tension",Cinematic Shots,action; dynamic; motion,@prompt_1758598565369,No,9/22/2025
cin-004,"Establishing Shot","establishing shot, wide angle lens, deep focus, location reveal, environmental storytelling, cinematic composition",Cinematic Shots,establishing; wide; location,@prompt_1758598565396,No,9/22/2025
cin-005,"Dutch Angle Drama","dutch angle shot, tilted camera, psychological tension, dramatic composition, film noir influence, unsettling perspective",Cinematic Shots,dutch; angle; dramatic,@prompt_1758598565428,No,9/22/2025
cin-006,"Tracking Shot","smooth tracking shot, steadicam movement, following subject, dynamic camera motion, cinematic flow, professional dolly work",Cinematic Shots,tracking; movement; dolly,@prompt_1758598565462,No,9/22/2025
char-001,"Hero Portrait","@character heroic pose, confident expression, dramatic backlighting, superhero aesthetic, powerful stance, cinematic portrait",Character Styles,hero; portrait; powerful,@prompt_1758598565489,Yes,9/22/2025
char-002,"Villain Reveal","@character sinister expression, dramatic shadows, low key lighting, menacing presence, dark atmosphere, villain aesthetic",Character Styles,villain; dark; menacing,@prompt_1758598565520,No,9/22/2025
char-003,"Emotional Character","@character emotional expression, tears, vulnerable moment, soft lighting, intimate framing, raw emotion",Character Styles,emotional; vulnerable; intimate,@prompt_1758598565555,No,9/22/2025
char-004,"Character in Action","@character mid-action pose, dynamic movement, motion blur, athletic form, intense concentration, action hero shot",Character Styles,action; dynamic; athletic,@prompt_1758598565587,No,9/22/2025
char-005,"Period Character","@character period costume, historical accuracy, vintage aesthetic, classical portrait style, authentic details",Character Styles,period; historical; vintage,@prompt_1758598565621,No,9/22/2025
char-006,"Sci-Fi Character","@character futuristic outfit, sci-fi aesthetic, holographic elements, cyberpunk style, neon accents, tech wear",Character Styles,scifi; futuristic; cyberpunk,@prompt_1758598565655,No,9/22/2025
